Reviews;Keyphrases
Storage. Handy;Handy storage - neutral.
Classy. Love the shelving unit. Looks high-end but so inexpensive. Easy to put together. It definitely should be attached to wall since it is not heavy and could tip over.;Classy look - Positive, High-end appearance - Positive, Inexpensive - Positive, Easy to assemble - Positive, Should be attached to wall - Neutral.
Awesome Organizational Tool. I purchased three of these to give me added space in my dresser for sweatshirts. They work wonderfully in both functionality and appearance.;Added space - Positive, functionality - Positive, appearance - Positive.
Looks great but starting to sag . I love how this base elevates the Kallax, but unfortunately, after about a year I can see the top shelf is starting to detach caused by sagging in the middle. I thought this would be strong given it’s constructed of metal. It really needs a center leg to properly distribute the weight.  ;Elevates Kallax - Positive, sagging - Negative, middle detaches - Negative, constructed of metal - Neutral, needs center leg - Negative.
Love it. This gold shelf-within-a-shelf is perfect for board books to fit more on the shelf, or anything else that isn’t tall enough to use the whole cubby, but you want to use some of that open space above. Super cute design, easy to put on, securely attached even full of heavy books.;Gold shelf-within-a-shelf - Positive, perfect for board books - Positive, securely attached - Positive, super cute design - Positive.
The price is low and the performance is good.. The price is low and the performance is good.;Low price - Positive, good performance - Positive.
Sturdy budget-friendly shelving. This now commands my laundry room. Put it together in about 15 minutes. Looks great and seems like it'll last for years.;Budget-friendly - Positive, sturdy - Positive, put together in 15 minutes - Neutral, looks great - Positive, appears durable - Positive.
organization and good looking. My sewing and knitting supplies have a home. The construction was relatively easy. The space behind the doors does not allow full use of the cube, so is somewhat limited. The drawers work well, and it has been cat tested and approved.;Organization - Positive, good looking - Positive, sewing and knitting supplies - Neutral, relatively easy construction - Positive, drawers work well - Positive, cat tested and approved - Neutral.
Love it!. There's too many black shelving units in my place so I thought I'd go for a brighter unit. So glad I did! I love this for my media/turntable/vinyl/cds/art books collection. I hope thet make a dvd shelf unit.  Also easy to put together.;Bright unit - Positive, love it - Positive, media storage - neutral, easy to put together - Positive.
Perfect bedside table. I used the unit as a bedside table. Fits the decor perfectly.;Bedside table - Positive, fits decor - Positive.
love. LOVE these units for storage in my basement...now waiting the LEKMAN boxes to come in!!!!;Storage units - Positive, waiting for boxes - Neutral.
Great Product. Easy to build. Quality product.;Easy to build - Positive, Quality product - Positive.
the parts are different. I have 4 Kallax of various sizes in my house. I've never had a hard time building one before. I'm not sure what is different, maybe the wooden dowels are longer than they used to be or the holes are not as well made. This was the smallest one I've put together and it was such a pain. The dowels simply wouldn't go into the holes smoothly, even with all my weight (not inconsiderable) pushing in. I ended up using a rubber mallet that almost worked but dented the sides. I'm very disappointed.;Different parts - neutral, not hard to build - Positive, larger Kallax units - neutral, this one was painful - negative, dowels didn't fit smoothly - negative, used rubber mallet - neutral, disappointed - negative.
Super handy!. We keep this under the table as a place to organize notebooks, laptops, and cables that have shown up now that we work from home. The casters are not very effective at keeping it in place.;Organizes notebooks, laptops - Neutral, keeps cables - Neutral, not effective casters - Negative.
The wood is soft so. The wood is soft so it does dent really easily. There are no caps to cover the screws so it’s a bit of an eyesore. Very sturdy.;Soft wood - Negative, Dents easily - Negative, No screw caps - Negative, Sturdy - Positive.
Perfect display shelving. I bought this to display my LEGO CONSTRACTION Star Wars figures. I needed something that was the right spacing and would also allow light to get through. My figures are seen easily in daytime and at night I have the IKEA led light strip DIODER on The underneath of the solid top shelf aimed down and its enough light for nighttime enjoyment of my figures. Construction of the shelves was easy. The hardest part was fitting the boxes in the car.;LEGO figure display - Positive, right spacing - Positive, allows light-through - Positive, easy construction - Positive.
Love it. Perfect use ;Love it - Positive, perfect use - Positive.
sturdy shelf . Came together nicely. Screws were too soft. The position of the screws can be hard to reach in places. My screwdriver slipped in the slot and made the screw a bit rounded. ;Sturdy shelf - Positive, came together nicely - Positive, screws were too soft - Negative, hard to reach screw positions - Neutral, screwdriver slipped - Negative.
Good quality and versatile.. Good quality and versatile.;Good quality - Positive, Versatile - Positive.
"Kallax Storage unit. Speedy delivery, easy assembly, sturdy and great color, only suggestion to Ikea; provide an optional backing for this unit. Thanks, Ikea.";Speedy delivery - Positive, easy assembly - Positive, sturdy - Positive, great color - Positive, suggestion: provide backing - neutral.
"So usefull. Love how it makes the Kallax look like a ""piece of intended furniture.""";Makes Kallax look like intended furniture - Positive.
Great Budget Shelving. Just the right size. Easy to assemble. Looks good on the wall. Thinking about buying more for my kids.;Right size - Positive, Easy to assemble - Positive, Looks good on wall - Positive, thinking about buying more - Positive.
Love it. Just what we wanted ;Just wanted - Neutral, love it - Positive.
Versatile Piece. Was looking for a printer stand for our office makeover. The Kallax is very sturdy, without loading bins in the openings. Works well adjacent to my desk area. Plenty of storage options underneath.;Printer stand - neutral, sturdy - positive, openings empty - neutral, works well adjacent to desk - positive, storage options underneath - positive.
So very nice. I wanted bookcase that were a bit more “upscale” than the very affordable Billy bookcases. I was so happy with the Havasta! Very sturdy- high quality. I used it without the base due to height restrictions in the desired space. It works perfectly fine that way. I really like this product.;Upgraded bookcase - positive, high quality - positive, sturdy - positive, works fine without base - neutral.
Sturdy. I like that the shelves are metal. I plan on painting the wood legs black. ;Metal shelves - Positive, plan to paint legs black - Neutral.
Sturdy. Love these cubes. They are sturdier and better quality than the one I bought from Target.;Sturdy cubes - Positive, better quality - Positive.
Quality control issues. I purchased three of these. Two assembled as expected, the other had a piece that someone forgot to drill holes in. Now I have to pack it up and drive an hour round trip to hopefully get a correctly manufactured one.;Purchased three - Neutral, Quality control issues - Negative, correctly manufactured - Positive, drive an hour round trip - Negative.
Great. Great;This sentence does not contain enough information to extract keyphrases and classify their sentiment.
Good Looks, BUT Tough Assembly. I have now assembled 8 shelf units and have found that in every unit there are at least 3 mis-alligned screw holes. This makes it frustratingly VERY HARD TO SCREW together and ends up taking extra time and effort. Once together, they look great.;Good looks - Positive, Tough assembly - Negative, Mis-aligned screw holes - Negative, Looks great - Positive.
Nice. It's really clean looking and smooth. Only thing, I would not say it's toddler friendly. But otherwise it's a great item;Clean looking - Positive, Smooth - Positive, not toddler friendly - Negative.
Got so many compliments! But this shelf wobbles!. I loved this so much I went back for another one! Great price and size. 50 mins to assemble for me. THIS DOESNT DESERVE FIVE STARS because the parts didn't fit together when I assembled it, even though in great at building. They weren't manufactured right. Also it wobbles left to right with if pulled or pushed lightly!!!!!!!!;Many compliments - Positive, wobbles left to right - Negative, great price and size - Positive, easy assembly - Neutral, poorly manufactured parts - Negative.
Book shelf in family room. We are very pleased with this book shelf and black base stand. At first it seemed like it was too light weight to hold all our books, but it is loaded and we are very pleased with the outcome.;Book shelf - Positive, black base stand - Neutral, seemed light weight - Negative, pleased with outcome - Positive.
Nope!. I am not going to drill holes into the cubby to insert a liner and MAYBE be accurate. Nope. Returning these and buying simple inserts.;Will not use liners - Negative, not accurate - Negative, returning product - Negative.
It fits in my space!. It fits in my space! It is wonderful storage for my scrapbook albums and supplies.;Fits in space - Positive, scrapbook storage - Positive.
worse quality. I had pruchased this item a couple years ago and I was very happy wth them, and now I wanted to complete the design of my office with the same product, but after building it i realized that not only they are not longer the same size as before, but also they have change the quality of the product for worse! completely disappointed of IKEA's new products;Worse quality - Negative, not same size as before - Negative, disappointed with IKEA - Negative.
Looks great under my family room windows. I put two of these, laying down like in pictue, under the windows of my family room and added a cushion on top of each. They look great and everyone enjoys sitting there and looking out the window. I am putting baskets of toys underneath for my granddaughter.;Looks great under windows - Positive, added cushions - Positive, baskets of toys underneath - Neutral.
Just what I needed!. Needed a stand for my 55”TV but didn’t want to spend a lot of money.;Stand for TV - Neutral, didn't want to spend much - Positive.
storage. Needed something for my grandkids toys and these are the best. I 've had a Kallax unit with 12 cubbies for over 10 years. It's stood the test of time and wear. Still looks great! Love IKEA.;For grandkids toys - Positive, best storage solution - Positive, stood the test of time - Positive, durable - Positive, Love IKEA - Positive.
Used this as a horizontal book shelf.. Bought a stand for this to be mounted on and it turned out perfect.;Used as bookshelf - neutral, turned out perfect - positive.
Surprisingly Poor Construction. This is the first IKEA product series I have been sorely disappointed with. We have bought quite a few products from IKEA: desks, outdoor furniture, a bed, chairs, a dining room table, and quite a few others.  In most cases, the tolerances are quite good, and things fit tightly, so long as you follow the directions.   For both KALLAX shelves I bought, the problem is the dowels: following the directions, using a hammer, I inexplicably damaged both shelves because the dowels didn’t quite fit.  I do not recommend this at all. I am not returning it, due to the distance to the store. If it wasn’t so far, both would be going back.;Disappointed with construction - Negative, damaged shelves - Negative, dowels - Negative, would not recommend - Negative.
Excellent quality. The item is excellent quality, sturdy and easy to assemble.;Excellent quality - Positive, sturdy - Positive, easy to assemble - Positive.
Good product. Good product;Good product - Neutral, no keyphrases extracted with sentiment indicate ambiguity.
Kallax 4 cubby. I prefer to get the smaller 2-4 cube shelf units a they’re much easier to move around or if you’re having a manic moment in the middle of the night and want to rearrange the entire room. It’s far better to move smaller shelves than the larger 8+ units. … was it worth the price? Mmm I’m pretty sure these used to be around 30ish bucks but now they’re back up to 40 to 60 rounded up. I’d appreciate if they were 34 dollars  and wouldn’t spike up in cost more than 5 bucks. Idk that’s just me ;Prefer smaller units - Positive, easier to move - Positive, worth the price - Neutrals, smaller in cost - Negative, price increase - Negative.
Great for LP storage. I bought a few of these in the 8-cube configuration a long time ago to store vinyl records and loved them. I heard that IKEA discontinued them years ago and recently found out that they started making them again. The new edition is not quite as sturdy as the originals but are still very good. The outside frame is a little more narrow and the whole unit is slightly lighter, but the old ones were probably heavier than they needed to be so this shouldn't be a big deal. Happy with both the quality and the value. ;Great for LP storage - Positive, Loved old edition - Positive, Discontinued and reintroduced - Neutral, New edition less sturdy - Neutral, Narrower frame - Neutral, Good quality - Positive, Good value - Positive.
Perfect shelving!. I have a large craft room that was now easily organized by the space made by this 5x5 unit. ;Large unit - Neutral, easily organized room - Positive, perfectly suitable for a craft room - Positive.
Not worth the price.  Poor construction. Beware the door assemble and construction is junk.  I have had this for less than 6 months and the side ripped away from the side walls and I have tried to fix it and it keeps falling apart.  It is really terrible cheap construction.  The pull out drawer part is fine but the doors that close are garbage.  Don't buy this if you need closing doors.;Poor construction - Negative, side ripped away - Negative, closing doors garbage - Negative, cheap construction - Negative.
Very nice. We’ve had the tall 4 shelf for over 20 years and it’s still in perfect shape. Ordered this square unit to accompany and it doesn’t disappoint. It matches perfectly. Sturdy, easy to assemble and looks amazing.;20-year-old shelf - neutral, perfect shape - positive, ordered square unit - neutral, matches perfectly - positive, sturdy - positive, easy to assemble - positive, looks amazing - positive.
great for scrapbook paper storage.  Not easy to put together.. Great for scrapbook paper storage.;Great for scrapbook paper - Positive, challenging assembly - Negative.
Perfect for board games. Very easy to assemble, sturdy storage for our collection of games.;Easy to assemble - Positive, sturdy storage - Positive.
EKENABBEN Shelving was perfect. Purchased two and being used in the garage to organize boxed items to pull when needed. Sturdy shelving with enough spacing to keep boxes off the ground. Great price for our needs.;Perfect for organization - Positive, used in garage - Neutral, sturdy shelving - Positive, enough spacing - Positive, great price - Positive.
Kallax Bookcase. The book cases works. It's an inexpensive option for the time being;Works - Positive, inexpensive option - neutral.
Wrong color in box!. I purchased a second Kallax unit in the black color to match the one I already own. The sticker on the box indicated that the color was black. The pieces inside were white. I live 5 hours away and can’t justify driving back to return it. Highly recommend you pop the box open before you leave the store to double check the color!;Wrong color in box - Negative, purchased second unit - Neutral, double check colors - Strongly recommended - Neutral.
Beautiful shelf!. I am pleased with this shelf! It is a great price, easy to assemble, and has a lot of space. It also looks great!;Great price - Positive, easy to assemble - Positive, has a lot of space - Positive, looks great - Positive.
First purchase. Nice unit, easy to assemble. I did forget about securing the Kallax to the wall before installing the insert. ;First purchase - Neutral, Nice unit - Positive, easy to assemble - Positive, Forgot to secure to wall - Negative.
Books. Holds all of my cookbooks;Holds cookbooks - Positive.
Craft Room Complete. Several years ago I bought a series of Kallax cubes for my craft room. They worked out so well, I decided to line the opposite walls with more cubes. These are well built and can be adapted to every type of storage need.;Several years ago - Neutral, bought a series - Neutral, well built - Positive, can be adapted - Positive, every type of storage need - Positive, lines opposite walls - Positive.
Kallax shelf. I love my Kallax units and this shelf helps to organize my crafts by using up extra space.;Organizes crafts - Positive, extra space utilization - Positive, love Kallax units - Positive.
EKENABBEN PRODUCT .  This Ekenabben Open Shelf Unit is an outstanding product that can be used for many different options.;Outstanding product - Positive, many different options - Neutral.
Glossy finish off-putting. I love the shape, design. But the mounting is not functional. The security brackets are not spaced for both to hit studs, so the expectation is that one would be in a stud and one in an anchor. I decided to wall-mount mine, so I placed brackets on the bottom. It looks great on the wall. And finally, the finish is glossy, almost glassy, which clashes a little with my eggshell walls. Not a deal-breaker, but not what I was hoping for.;Love shape and design - Positive, mounting not functional - Negative, security brackets spacing - Negative, mount on wall - Positive, glossy finish - Neutral.
So cute . These shelves made my kitchen cute;Made kitchen cute - Positive.
High gloss white is not white it’s UGLY yellow white. The high gloss white is yellowish not a true white and it looks disgusting with the blue pansartax boxes, not to mention it was originally delivered without the base, I ended up having to order another base and pay delivery twice because customer service would have had me wait a week, one of the boards arrived damaged to top it all off but the worst part is honestly the color and the fact that it’s so complicated to construct that you can’t return;High gloss white - Negative, not true white - Negative, yellowish - Negative, complicated construction - Negative, arrived damaged - Negative, customer service delayed order - Negative, cannot return - Negative.
Shelving. Awesome product to put in my craft room for storage. Easy to put together and position in the room;Awesome product - Positive, put in craft room - Neutral, easy to assemble - Positive, position in room - Neutral.
Perfect fit!. I was looking for something that would hold our receiver and turntable, while looking good with another piece of furniture. This was it, and it looks great.;Fits receiver and turntable - Positive, looks good - Positive.
Kallax. I have 2 of these now. They make for easy quick bookshelves and storage;Easy quick bookshelves - Positive, storage solution - Positive.
Excellent product . Slim design, nice width and height, number of shelves, strength and quality are A+! Excellent design made it very easy to put together also. Love it, went back and bought a second one!;Slim design - Positive, nice width and height - Positive, number of shelves - Positive, strength - Positive, quality is high - Positive, easy to put together - Positive, love it - Positive, bought a second one - Positive.
Good for the space it. Good for the space it was intended for;Good for intended space - Neutral.
Great storage addition to my sewing room!. I bought this little shelf for my sewing room to provide more storage as well as provide an ironing surface. With this shelf being at counter height, I can easily add a do-it-yourself ironing board to the top! (plywood+batting+pretty fabric) This will make this piece even more versatile, which is great! My husband put it together for me and was surprised it just snapped together. He did come across one broken piece that he had to go exchange at our local IKEA, but out of all the items we have purchased, this has been the only instance of that happening. I actually do not have this one attached to the wall at the moment, but it seems sturdy and holds a lot. I am very happy with this purchase!;Provides storage - Positive, counter height - Positive, easy to assemble - Positive, versatile - Positive, sturdy - Positive, holds a lot - Positive.
Stylish. Fits IKEA cabinets like they’re supposed to and look stylish, gives the cabinet a more upgraded look;Fits IKEA cabinets - Positive, stylish - Positive, upgrades look - Positive.
Great. This door adds beauty and function to my Kallax unit.;Adds beauty - Positive, adds function - Positive.
Looks good and a good. Looks good and a good value. A little awkward to assemble but well designed and sturdy. Read and understand all instructions thoroughly before starting.;Good value - Positive, looks good - Positive, Well designed - Positive, sturdy - Positive, awkward to assemble - Neutral, instructions - Neutral.
Sturdy and worth it!. I own the 2x2, the 2x4, and the 4x4 Kallax products. They are so sturdy and work great with it without the bins. I highly recommend them as a solid piece of furniture in any room.;Own multiple Kallax products - Neutral, Sturdy - Positive, works great without bins - Positive, recommend as solid furniture - Positive.
More storage. The only issue I have it needs to be reinforce some how the inner sides come loose and pull apart .;More storage - Positive, Needs reinforcement - Negative.
Great addition!. Love the versatility the Kallax cubes offer. These door fronts were easy to install and fit great.;Love versatility - Positive, door fronts - neutral, easy installation - Positive.
Love this set up. I purchased three base units with doors, two of the upper shelves and one upper shelf with glass doors. It looks fantastic!;Purchased base units with doors - neutral, upper shelves - neutral, upper shelf with glass doors - neutral, looks fantastic - Positive.
Great shelves. Really love this shelving unit. I have several large lego sets and this is perfect for displaying them, most other bookshelves or shelving units are too small. Glass is easy to clean as well. ;Love the shelving unit - Positive, perfect for displaying large Lego sets - Positive, easy to clean glass - Positive.
Great item. Sturdy and well built! ;Sturdy - Positive, Well built - Positive.
Beautiful and functional. Beautiful. Functional. Practical. Quality.;Beautiful - Positive, Functional - Positive, Practical - Positive, Quality - Positive.
Versatile Kallax shelving. So easy to put together and can be used vertically or horizontally. Looks so clean. Exactly what I needed in my kitchen for extra shelving.;Versatile design - Positive, Easy to put together - Positive, looks clean - Positive, vertical/horizontal - Positive, Kitchen shelving - Positive.
Looks better than i nexpected.. Looks better than i nexpected. Very pleased;Looks better - Positive.
Nice . Nice choice from us in getting this of our home ;Nice choice - Positive.
Good quality products. Great quality. Well made , by me, but solid furniture. Mostly easy to follow instructions. I like the challenge.;Good quality products - Positive, Well made - Positive, Mostly easy instructions - Neutral, Challenge accepted - Neutral.
New entryway look. Added to our entryway to replace an old sofa table with zero storage. Baskets hold shoes and doors/drawers hide stuff.;Replaced old sofa table - Neutral, zero storage - Negative, holds shoes - Positive, doors/drawers hide stuff - Positive.
Kallax Shelf Unit. This shelf unit is sturdy and able to hold lots of books without the worry of the shelves bowing. It has clean lines and fits in with my white sewing furniture. Went together very quickly. Very pleased with my purchase.;Sturdy - Positive, holds lots of books - Positive, clean lines - Positive, fits furniture - Positive, went together quickly - Positive.
like the drawers better. Aligning and securing the Kallax door was little hard . You have to make a new hole on the shelf and then screw the door unit on.;Prefer drawers - Neutral, attaching door was difficult - Negative, need to make new hole - Negative.
Brackets not spaced for wall studs. I think this shelf is perfect. I only wish the brackets were spaced for wall studs. They the way they are, only one mounting screw hits a stud. The other side must rely on a dry wall anchor.;Shelf is perfect - Positive, brackets not spaced for studs - Negative.
Very happy! . Priced right. Looks good! Works great. Added wood glue for insurance, but could be fine without ;Priced right - Positive, Looks good - Positive, Works great - Positive, Added wood glue - Neutral.
NOT HAPPY - NEED TO RUIN BOOKCASE TO USE. I am not happy with these as you need to screw them into your bookshelf which will put holes into your unit. Returning as I had not open these yet but opened the drawer ones which is the same. I think IKEA should put this in the description. Will never understand why they changed them.;Screws into unit - Negative, not happy - Negative.
Super easy to build. I am a 13 year old and this was very simple to build! I only needed my dad’s help twice!! The end result is super nice it is great! im on my dads account btw;Easy to build - Positive, simple for a 13 year old - Positive, help required twice - neutral, nice end result - Positive.
Drawers. Good;Drawers - Neutral, Good - Positive.
"Not for Older Models. I bought my Kallax 2010and just brought this base, but found that the screw hole does not align. I compared it to the newer Kallax model and found the older model has thicker sideboards. I wish Ikea had a sign that says ""for models from 20xx-20××"".";Bought base for older model - Neutral, screw holes don't align - Negative, Newer model comparison - Neutral, Older model has thicker sideboards - Positive, sign for old model years - Neutral.
Simple and sturdy. Purchased as a storage shelf. It's solid and the lip on the back of the shelves help keep items secured;Storage shelf - neutral, solid - Positive, lip to keep items secured - Positive.
damaged parts. I did a click and collect on this item. After driving 5 hours round trip, I got home to put it together and one of the sides was really damaged. I ended up putting it together but needed zip ties and had to hammer out the flat pieces.;Click and collect - Neutral, damaged parts - Negative, needed zip ties, hammered flat pieces - Negative.
Perfect addition to my Kallax shelves. I have several Kallax shelves holding vinyl LP albums. I just added another to my media room for board games. I am glad they make a consistent product from year to year. Even the color matches. The drawers are great accessories. I'm using them for decks and games pieces. Perfect.;Added media shelf - Neutral, consistent product - Positive, color matches - Positive, great for board games -positive, drawers are great - Positive.
they fit perfectly in the space needed. They are light and bright and sturdy;Perfect fit - positive, Light - neutral, Bright - neutral, Sturdy - Positive.
Easy to assemble, looks great. Purchased this to hold plants in front of a long window. Very easy to assemble, looks neat and clean while letting the plants shine. Able to store plant food, watering can, etc on lower shelf. Very convenient.;Easy assembly - Positive, looks great - Positive, plant holder - Neutral, convenient - Positive, neat and clean - Positive.
Great for closet. It fits in my closet. Waiting for the taller 4 unit on stock. It really helps organize your closet. Waiting for the inserts to place my shoes next.;Fits in closet - Positive, organizes closet - Positive, waiting for taller version - Neutral, waiting for inserts - Neutral.
Who owns a glass punch?. The instructions were… fine, but it did not come with a glass punch (?) that you’re supposed to use on step 18 to screw into the glass. I have thousands of dollars of tools and no glass punch. Also, the end product is wobbly.;Instructions provided - neutral, glass punch missing - negative, end product wobbly - negative.
Great product. Easy to assemble;Great product - positive, easy to assemble - positive.
Perfect for desk top …. Perfect for desk top … with a couple modifications;Perfect for desk top - Positive.
Great storage for crafting supplies . My wife used this for all of her craft and sewing projects ;"Great storage - positive

for crafting supplies - neutral

My wife used - neutral

for all of her craft and sewing projects - neutral"
So much quality. I made a whole wall of the cubbies.  They are versatile,  sturdy and beautiful.   I have the desk attached it is wonderful.   I have used a sewing machine and the ceramic items and statues didn't even jiggle.   Recommend for everyone. ;High quality - Positive, versatile - Positive, sturdy - Positive, beautiful - Positive, wall of cubbies - Neutral, desk attached - Positive, highly recommend - Positive.
NOT fit old Kallax shelf unit!!. I have two Kallax shelf units of the same size, measuring 30 3/8 by 57 7/8 inches, which I bought at different times. One is high gloss white, and the other one is regular white. The base legs can only be installed with the white unit, which I purchased about two years after the gloss white one. The part number 10081882/10081773, which is designed to connect the Kallax unit to the legs, is shorter and cannot reach the holes on the old high gloss Kallax unit. but the product detail information here mentioned it fit all KALLAX unit. which is not true!;Fits old Kallax unit - Negative, base legs - Neutral, product details - Negative.
Great Office Addition. I use Kallax on its side to create an L-shaped desk in my new office. It has worked great. Was very easy and quick to assemble.;L-shaped desk - Positive, easy assembly - Positive, Great office addition - Positive.
Perfect for NEWER Kallax Shelving. I love the way this elevates the look of these shelves (and literally lifts them off the floor, so they’re less dusty).   Be careful! If you have Kallax shelves that were purchased several years back. IKEA changed the design several years ago, and the outer dimensions are about an inch off. Mine are slightly bigger than the current Kallax shelves, so these legs don’t actually mount properly. I was able to screw them into my slightly larger version and use them.;Elevates look of shelves - Positive, less dusty - Positive, slightly bigger than current IKEA Kallax - Neutral, mounts slightly differently - Neutral.
Kallax. Very sturdy using it as a dresser in a small room ;Using as dresser - neutral, very sturdy - positive.
Doors. Great quality. Good looks. Easy to assemble.;Great quality - Positive, good looks - Positive, easy to assemble - Positive.
Very nice wall unit at a great price. Easy to assemble, thoughtful design, sturdy and attractive;Great price - Positive, Easy to assemble - Positive, Thoughtful design - Neutral, Sturdy - Positive, Attractive - Positive.
A little wobbly. This is the second vittsjo I’ve purchased in the last few years and this one seems to wobble and sway a bit. I recommend anchoring to the wall. I’ve assembled a lot of ikea furniture and the like over the years, so pretty confident I assembled this correctly.;Second purchase - Neutral, wobbly - Negative, recommend anchoring to wall - Neutral, assembled correctly - Neutral.
Perfect Fit. Easy to put together. Fits my needs exactly. Simple and clean.;Easy to put together - Positive, Fits needs exactly - Positive, Simple - Positive.
Old style was better. While the doors are functional and look good I gave 2 stars because the quality has certainly declined. Walls are now made of cardboard rather than the sturdy construction of previous models. Difficult to install due to screws tearing cardboard walls before ever making it flush onto the kallax cube wall.;Functional doors - Neutral, Decline in quality - Negative, made of cardboard - Negative, Difficult to install - Negative.
Was not what I thought it would be. Once assembled it get rather flimsy for books. Better off getting a billy bookcase or similar for heavy objects. It would be great for decor and Knick knacks.;Once assembled - Negative, flimsy for books - Negative, heavy objects - Negative, better off with Billy bookcase - neutral.
Nice for the price. I decided to organize and create a smaller footprint for the toys the grandkids play with when they come over. This works great. The 13 by 13 cubes are very spacious. I do recommend fastening it to the wall if in the upright position because the little ones definitely try to climb it.;Organizes toys - Positive, smaller footprint - Positive, 13 by 13 cubes spacious - Positive, securing to wall recommended - Neutral.
Wish this was available in all colors!. This would be a perfect option for my use but it doesn’t come in the black brown color so I’ll be looking for other options outside of IKEA;Wish comes in black-brown - Negative.
Fabulous. I made a wall to wall bookcase in my old home. Then there was no  extra  frame with legs. This is a relief since it makes it easy to clean below the bookcase.  Love it!; Wall-to-wall bookcase - positive, no extra frame - Positive, makes cleaning easy - Positive.
Great shelf for smaller spaces. This shelf had the exact dimensions I needed to fit a small space. It was perfect to keep all my flour bins in the kitchen. Keep in mind that the metal shelves are extremely thin and can dent easily. So take care when assembling the unit!!;Small space solution - Positive, exact dimensions - Positive, fits flour bins - Positive, thin metal shelves - Neutral, can dent easily - Negative, take care during assembly - Neutral.
"Kallax Shelf Unit. I already purchased one of these for another room; so, I knew what I was getting. Really STURDY and very handsome. I didn't have any problems putting this piece together. I have all my sewing books in there.";Already purchasd - neutral, Really sturdy - Positive, good looking - Positive, easy to assemble - Positive, sewing books in it - neutral.
Excellent value for this product family!. I like this size for kids toys and end tables.  I can put one of these together in about 20 minutes taking my time.  I am a Kallax fan.  We have purchased many sizes with various inserts over the years, and we have never been disappointed.  I think my favorite is the black brown with doors and drawers.  My kids prefer the lighter color units with colored inserts (especially the green metal doors offered several years ago.)  The lighter colors don't require as many touchups over the years, but touching up scratches isn't difficult if you're crafty. We have used permanent marker and paint to good effect.  If your product is damaged or missing parts when you get home, IKEA will make it right.  They have even mailed parts to my house.  Reach out to customer service and see what your options are.;Excellent value - Positive, liked size for kids toys and end tables - neutral, easy assembly - Positive, Kallax fan - Positive, favorite black brown with doors and drawers - Positive, good customer service experience - Positive.
Kallax cube storage. These are the best! I wish I had more of them.;Best cubed storage - Positive.
Great look, great security.. I love this line for the industrial natural look. This particular unit has the front doors with perfect handles to thread a baby lock through! ;Industrial natural look - Positive, perfect handles - Positive, baby lock compatible - Positive.
Good for small space . I like it;Good for small space - Positive.
Havsta open shelves. Beautiful, open shelves for displaying framed photos and books. Shelves are very thick and sturdy. I love this piece of furniture. I plan on adding 1 more piece of Havsta furniture to the living area for closed storage to have a beautiful, coordinated look.;Open shelves - Positive, beautiful - Positive, display framed photos and books - Positive, thick shelves - Positive, sturdy - Positive, coordinated look - Positive.
Really Tough to Assemble . Shelf looks great and functions well after it's put together but it was really difficult to assemble by myself. The wood shelf's are not predrilled so you have to apply a ton of pressure to get the screws in. I ended up using Bungie cords to hold the shelf in place while I added the screws. This would've been easier if I had clamps or a second person applying pressure.;Really tough to assemble - Negative,Functions well - Positive, Looks great - Positive, Wood shelves are not predrilled - Negative.
Perfect fit. I needed something for storage that would fit under my large window. I was rearranging my craft room and didn't have enough storage. Kallax + bins and done! I'll put a cushion on top and the cat will be able to look out at squirrels all day!;Fits under large window - Positive, craft room storage - Positive, bins added - Neutral, cushion on top - Neutral.
Love this shelf. This pice creates a functional shelf and adds to the look and storage of the Kallie cube unit. Awesome price and unbelievably easy to put together. ;Functional shelf - Positive, adds to look - Positive, Kallie cube unit - Neutral, awesome price - Positive, easy to assemble - Positive.
"Perfect find. I was looking for a shelf of some sort for my printer/extra office supplies. The Billy bookcases were much too narrow and the Kallax were too chunky for the space I needed it in. This cart is the perfect compromise! The Pudda baskets fit perfectly in the square compartments, and I’ve got spare paper, notebooks, etc on the shelves. The quality was also surprising; I’m used to most Ikea furniture coming with a super thin board you nail in to the back, but the back of this is sturdy and could certainly be exposed in the room. Thanks for this piece, Ikea! Hopefully there will be a broader color range in the future.";Perfect compromise find - Positive, suitable size - Positive, sturdy back - Positive, surprising quality - Positive, Ikea - Positive, wish for broader color range - Neutral.
Perfect fit. We love the quality. I used it as a room seperator. ;Perfect fit - Positive, high quality - Positive, used as room separator - Neutral.
Office Space (sans Bill Lumbergh). Versatile. Functional. 8 years and counting. KALLAX is a killer line.;Office space solution - Positive, functional - Positive, versatile - Positive, killer line - Positive.
Also good as a TV Stand if you don't want to put your TV at a too low position. I bought this as my TV Stand, because I don't want to put the TV at a too low position. It works well. The depth of the frame can hold a 55 inch Samsung S95B and a Bose S700 soundbar (it is not too slim to place a big TV with wide/deep stand). The heights between the 3 boards are good enough to put Playstation 5 / Xbox game consoles vertically as well. It is easy for us to have wires through (of course, not so good to hide those wires because there is no such a whole board at the back). The structure is solid enough.  Assembling is OK. Although the structure is simple and clear, there are too many screws to put in. I finally forfeit one of them since I am sure it doesn't hurt at all without that screw. Designers should simplify that more if possible. On Pricing perspective, a little expensive for $179.;TV Stand - Positive, Holds 55 inch TV - Positive, Depth for soundbar - Positive, Holds game consoles - Positive, Solid structure - Positive, Assembling with screws - Neutral, Expensive pricing - Negative.
