text;Keyphrases
Pleased. Instructions are good just hate I have to put it together, but understand that’s part of my purchase.;Instructions are good - Positive, has to be put together - Neutral.
Great item!. Love the look and space. Perfect for my craft supplies;Great item - Positive, love look - Positive, craft supplies - Neutral, provides space - Positive.
Kallax. The legs on it makes it look I little more up scale and now it won’t cover a vent either so I was able to put it where I wanted. Love it;Legs - Positive, upscale look - Positive, covers vent - Negative.
Nice product. I have the whole collection of kallax. They are just amazing how many things you can do with them.;Kallax - Positive, whole collection - Neutral, amazing - Positive, many things you can do - Positive.
Perfect for Sewing & Craft Room. I bought two of these units to store my sewing books, fabric, craft and business supplies. The cubes are larger than most other units (a real plus). I like that the units are solid and sturdy allowing each cube to hold heavier items. The smooth finish not only looks great, I don’t have to worry about fabrics getting caught on rough edges.;Sewing & craft room - Neutral, larger cubes - Positive, solid and sturdy - Positive, smooth finish - Positive.
Sewing table hack. Using Pinterest ideas, I purchased 2 Kallax shelves and my husband and friend created an awesome storage/cutting table. I love it! Kallax is very sturdy and attractive. I’ll be buying another one soon.;Sewing table hack - Neutral, purchased Kallax shelves - Neutrals, Attractive - Positive, sturdy - Positive, creating storage table - Positive.
Perfect. Great for the classroom. The glossy finish gives it a nice touch!;Perfect - Positive, great for classroom - Positive, glossy finish - Positive.
Perfectly versatile!. My entire family loves Kallax cubes — we use them for crafts, kids’ toy storage, garage — and they work wonderfully in all areas.;Versatile - Positive, loved by family - Positive.
Terrible design. This piece doesn't properly line up. For the price I wouldn't have bought it if I had known it was going to be such a hassle & waste.;Terrible design - Negative, doesn't line up - Negative, high price - Neutral, hassle - Negative, wasted money - Negative.
Perfect, functional shelf!. Excellent value. It’s light and durable, stylish and functional. I’m sure it will be in use for a very long time.;Light - Positive, durable - Positive, stylish - Positive, functional - Positive.
Looks great!. The Kalamazoo not only looks great it serves my purpose so well. I bought it to organize my granddaughter’s arts and craft supplies. I love all the organizing inserts available for it!;Looks great - Positive, serves purpose well - Positive, organizing inserts - Positive.
Great!. I love this shelf unit! It was easy to put together, its priced great, its sturdy, and attractive looking! Thanks IKEA! I'm going to buy another one soon.;Easy to put together - Positive, great price - Positive, sturdy - Positive, attractive looking - Positive.
good enough for light weight. two screw holes are not aligned well, but as a light weight stand for small/light items, it is good enough;Light weight - Neutral, two screw holes - Negative.
Nice. Nice;This sentence does not contain any key characteristics orsentiment associated with a product.
Convenient. Love the size, color, and the space! They are amazing quality for the price!;Size - Positive, Color - Positive, Love the space - Positive, Amazing quality - Positive, for the price - Neutral.
Base On Legs should be. Base On Legs should be available for this Kallax storage product.;Base on legs - Neutral, should be available - Neutral.
Nice little unit. First time into IKEA products. Sprucing up a computer setup and using items such as the two bin Kallax for storage. Easy enough to put together and accessorize. Will be purchasing a few more as this one was a test.;Nice little unit - Positive, easy to put together - Positive, accessorize easily - Positive, will purchase more - Positive.
Fit perfect, east assembly. I’m usually challenged with these assemblies but the drawers and attaching to the Kallax cubes was seem less. The drawers work perfectly which is not common for me.;Easy assembly - Positive, perfect fit - Positive, drawers work perfectly - Positive.
Perfect bookshelf for plants. This bookshelf works and looks so much better than one I had found elsewhere for twice the price!;Affordable - Positive, Works well - Positive, for plants - Positive.
Great for storage. We bought this for storage at the foot of our bed, very spacious and sturdy.;Great for storage - Positive, spacious - Positive, sturdy - Positive.
Great shelf unit.. Great spaces for folded jeans & sweatshirts instead of taking so much space in drawers or closet.;Great shelf unit - Positive, good spaces - Positive, saves space - Positive.
Exactly what we needed.. Fits perfectly under office window between two desks for the kids. Great for storing books and makes a nice reading bench.;Fits perfectly - Positive, office window - Neutral, reading bench - Positive, stores books - Positive.
Exceeds Expectations. The cases were much lighter and stronger than I expected, with a good finish.;Lighter than expected - Positive, stronger than expected - Positive, good finish - Positive.
kallax. Simple to put together and holds my rolls of vinyl perfectly.;Simple assembly - Positive, holds rolls of vinyl - Positive.
Great for my classroom!. Love having the dividers in my Kallax bookshelf in my classroom! Easy to assemble and slides in the bookshelf easily.;Love having dividers - Positive, Easy to assemble -Positive.
I Love the look of. I Love the look of this inset.;Love the look - Positive, inset - Neutral.
Great for shoes. Wonderful for organizing;Great for shoes - Positive, Organizing - Positive.
Poor assembly. I’m only on step two of building this stupid thing and already I’ve had an incomplete hole I had to drill out because the screw would not fit and now the shelves will not fit because the wooden dowels are too long. I’ve dented it in three areas and two dowels have now broken off inside the holes. I’ve been here for two hours. This is ridiculous and I’m disgusted.;Poor assembly - Negative, incomplete hole - Neutative, dented - Negative, wooden dowels too long - Negative.
Great storage. Great for student’s’ backpacks in a small classroom.;Great storage - Positive, suitable for backpacks - Neutral, small classroom - Neutral.
Plant shelf. Works great as a plant shelf.;Plant shelf - Neutral, works great - Positive.
Perfect fit!. I was looking for something that would hold our receiver and turntable, while looking good with another piece of furniture. This was it, and it looks great.;Fits well - Positive, looks good - Positive.
Great peice. I bought this for my son's room. It seems very sturdy and just the size and aesthetic I wanted.;Great piece - Positive, sturdy - Positive, desired size - Positive, aesthetic - Positive.
Quality and Easy assembly. Fine quality, easy to put together.;Fine quality - Positive, easy assembly - Positive.
It’s cheap and fell apart. The screws came out! The dowels snapped and I am out the money;Cheap - Neutral, fell apart - Negative, screws came out - Negative, dowels snapped - Negative
Love the Kallax line!. I love this line. Very cute, affordable, easy to build and so many uses. I love that there is a metal stand now too.;Love Kallax line - Positive, affordable - Positive, easy to build - Positive, many uses - Positive, metal stand now - Positive.
Kallax for home office and living room. I purchased three Kallax 3x4 units...two for my husband's home office storage and the third for the living room. I love the look of the cubes and they are very sturdy. I gave it 4 stars because each unit had at least one hole that did not line up or was too large and prevented pulling the joints together tightly. I had to re-drill or use glue and toothpicks to get the screw to grab and hold.;Three units - Neutral, cubes look - Positive, sturdy - Positive, had alignment issues - Negative.
Great wall storage option. Very easy to assemble and functional.;Great wall storage - Positive, Easy to assemble - Positive, functional - Positive.
Does the job. I wanted a small storage cube to mount on my wall and this was perfect for it. Easy to put together and easy to mount.;Small storage cube - Neutral, easy assembly - Positive, easy to mount - Positive.
Entertainment Set. It's a beautiful entertainment Set for my living room. I have my picture and photo album on it. It's very sturdy and easy to move around the house if needed. Only had it for about two weeks.;Beautiful entertainment set - Positive, sturdy - Positive, easy to move - Positive.
Pieces were cracked but was able to make it work. See above , concealed damage disappointed in product;Cracked pieces - Negative, concealed damage - Negative.
Sturdy and dependable. So happy we found these! Downsized into smaller home 1/2 size so needed to declutter and organize. These are amazingly strong for fabric and scrapbooking books and supplies. Highly recommend! Husband was even surprised of sturdiness when put together.;Sturdy - Positive, Dependable - Positive, amazingly strong - Positive, scrapbooking supplies - Positive.
Kallax 5 x 5. Nice storage unit. Love the additional accessories available to enhance storage abilities. Need extra person to help lift up. Need to secure to wall. Recommend going to store to purchase due to long wait for truck delivery.;Nice storage unit - Positive, additional accessories - Positive, heavy - Neutral, require assistance - Neutral, secure to wall - Neutral, long delivery - Neutral.
Beautiful design, perfect for storage and display. We have purchased 4 of these bookshelves because the first two were not enough. We each have two in our offices and they are perfect for what we were looking for. Assembly is very easy, I am petite, 4'11, 100 lbs and assembled two of the shelves on my own with no difficulties. When we did them together it took 15 min or less!!;Beautiful design - Positive, perfect for storage and display - Positive, easy assembly - Positive.
Beautiful piece at a wonder price. I love this piece so much, it gives a luxurious feel to my bedroom.;Beautiful piece - Positive, budget-friendly - Positive, luxurious feel - Positive.
Great product!!!. Great product!!!;Great product - Positive, Positive - Positive.
Great Display Shelves. So glad we purchased this set of shelves - they are well-made and stylish!;Well-made - Positive, Stylish - Positive.
Beautiful shelf. I have several. Beautiful shelf. I have several pieces from this collection. Good quality!;Beautiful shelf - Positive, several pieces - Neutral, good quality - Positive.
It looks and works good. It looks and works good for my purpose.;Looks good - Positive, works good - Positive.
Free Standing Shelving. Great value, quality product and very easy to assemble.;Great value - Positive, quality product - Positive, easy assembly - Positive.
Great Shelf Unit. Coordinates well with Vittsjo Coffe table and makes a room look like you spent so much more to decorate.;Great Shelf Unit - Positive, coordinates well - Positive, makes room look better decorated - Positive.
Great multi-purpose shelf. I purchased this to replace one that I bought 9 years ago and used on a covered outdoor balcony. I had to wait a long time for it to be back in stock but am so thankful it was not discontinued!;Multi-purpose shelf - Positive, great quality - Positive, long-lasting - Positive, back in stock - Neutral.
Simple but stylish storage. Competitively priced, functional, easy to assemble, and sturdy storage.;Competitively priced - Positive, functional - Positive, easy to assemble - Positive, sturdy - Positive.
Perfect!. A little shorter than I expected but I’m using them to display desserts at My wedding so they are perfect!;Little shorter than expected - Neutral, perfect for displaying desserts - Positive.
Perfect!. Absolutely love the design of this piece! It works perfect in our space :);Design of piece - Positive.
Strong shelving unit. Unit is nice, but the screws strip easily, making it harder to assemble.;Strong shelving unit - Positive, screws strip easily - Negative.
Good looking shelf and easy to assemble. It was easy to assemble, at the end the whole structure feels reliable and strong, juat follow carefully the instructions;Good looking - Positive, easy to assemble - Positive, reliable and strong - Positive.
Great versatile product!. Great versatile basic product. I used several of these in a spare bedroom for nightstands and cubbies to hold numerous items. Got the baskets and drawers to use in some of them.;Great versatile product - Positive, Spare bedroom - Neutral, Holds numerous items - Positive, Baskets - Positive, Drawers - Positive.
Awesome size for storage - looks great!. I bought this for my craft/sewing room and cannot believe how much it holds! There is even plenty of room on top for larger boxes or bins. Everything looks neat behind cube bins and I can find what I need almost instantly. Assembly is surprisingly simple, but I did need an extra set of hands just because of the size of the unit.;Great size for storage - Positive, looks great - Positive, holds a lot - Positive, easy assembly - Neutral, neat organization - Positive.
"Perfect!. I bought this for much needed extra storage and to use under my 65"" tv. The size and scale was perfect! The bins are very spacious. Easy to assemble by one person. Very sturdy. Such a great piece!";Perfect size - Positive, needed storage - Positive, easy assembly - Positive, spacious bins - Positive, sturdy - Positive.
Nice and neat. These shelves are very helpful to expand closet for tight spaces;Neat shelves - Positive, helpful to expand closet - Positive.
Easy to assemble and strong. This piece holds lots of itsms;Easy to assemble - Positive, strong - Positive.
Does the Job. I got this for my studio it’s unfortunate they raised the price so much;Does the job - Neutral, unfortunate price increase - Negative.
New design. Prefer the old design with boxed sides v this new flimsy side panel. Looks cheap when drawers are open;New design - Neutral, prefer old design - Negative, open drawers - Negative, flimsy side panel - Negative.
No screws. I bought this thing and it came in but now I can't find any screws or pegs or anything. I've opened every box and Googled everything I can think of but I can't figure it out. It's been hours and I'm very frustrated as I'm not sure I can package this up to send it back since the boxes are torn now.;Came with no screws - Negative.
Horrible and disappointing design. I've been putting together Ikea furniture for 20+ years. I saw a picture of the mitered edges with the keyhole fasteners before purchasing and thought to myself that this will work great or not at all. Unfortunately, it was the latter. The holes were not cleanly drilled so the boards did not slot together without significant force (even before I tried to get the last piece on). When I tried to take it apart, because I couldn't get the last piece on, it was impossible. Would not recommend ANY Ikea product with this new construction.;Horrible design - Negative, disappointing - Negative, mitered edges - Neutral, keyhole fasteners - Neutral, not slotting together - Negative, not reversible - Negative.
Not so easy to assemble. It is poor quality stuff.;Not easy to assemble - Negative, poor quality - Negative.
storage galore. I have so many of th eKallax storage cubby units. They are amazing and I've even used them as room dividers.;Storage galore - Positive, amazing - Positive, used as room dividers - Neutral.
FANTASTIC for storing Vinyl Records!. I had found another product to store vinyl records that was almost 3x the cost but it was backordered and I'm glad it was. This is so much nicer for a fraction of the cost. The construction is more solid and the stand makes it look alot more expensive then it is. It wasn't difficult to put together and is holding his 500+ album collection beautifully. This is by far the best solution for the price that I found-HIGHLY recommend!!;Stores vinyl records - Positive, nice construction - Positive, holds album collection - Positive, affordable - Positive, easy assembly - Positive, good value - Positive.
Kallax Shelf. Functional easy to use shelf;Functional - Positive, Easy to use - Positive.
Great organization cubby. Easiest piece of ikea furniture that I’ve done. Very sturdy and just perfect for my grandkids’ toys and activities;Easiest assembly - Positive, sturdy - Positive, perfect for grandkids' toys - Positive.
Long time favorite…but. Our family has loved these shelves, we all have them in our homes, some have been passed down over time. Over the years we bought the Kallax’s predecessor (name currently escapes me). We were skeptical about the change to the Kallax but still tried them and found them to work. However, the nature of the Kallax has changed and I’m not sure it is for the better. Our older shelves were strong and heavy and survived several moves quite well. But these new ones are as light as if they were made from spun sugar and feel rather insubstantial, as if they are purposely made not to last. It was quite a surprise as it has only been a few months since we bought others so the change seems quite recent. Time will tell but I doubt we will buy any more.;Long time favorite - Positive, Survivable - Positive, heavy and strong - Positive, new Kallax - neutral, insubstantial - Negative.
Beautiful, functional and durable. I love this shelving unit! The thicker side edges make it look higher end and it was easy to assemble. It adds some much needed storage to our house and so much more sturdy than the shelving units we have purchased from big box stores.;Beautiful design - Positive, functional - Positive, durable - Positive, easy assembly - Positive, adds storage - Positive, sturdy - Positive.
Luving Kallex Cube Stands!!. This is my 2nd Kallex 8 Cube Stand. I especially love the high gloss of the gray one and the white one. These two exemplify an aura of modern furniture at a fantastic price! The high gloss make them the perfect fit for the modern look.  Kallex makes it so easy to put together and have great simple instructions to follow!! They do come in many colors and sizes. Also available are items to style your cubicles for storage! If you are looking for beauty and quality for a great price, look no further and get your Kallex Cube Stand today!!!;Modern furniture - Positive, high gloss - Positive, easy assembly - Positive, simple instructions - Positive, available in many colors and sizes - Neutral, beautiful and quality - Positive, great price - Positive.
Amazing!. I love the Kallax series! I have so many already. I live in an apartment and it's hard to get traditional bulky furniture up 3 flights of stairs. I bought some Kallax units to solve that problem! They are light but sturdy and easy to maneuver and bring move up/down stairs. I also love how I can choose which cubes to put in them!;Light but sturdy - Positive, easy to maneuver - Positive, can be brought upstairs - Positive, customizable - Positive.
Versatile. You have many ways to can incorporate this piece of furniture in any room. I like the fact IKEA has the option to add doors to it or drawers or you can use baskets or the foldable cubes. I love it!;Versatile - Positive, many ways to incorporate - Positive, option to add doors or drawers - Positive, baskets or foldable cubes can be used - Positive.
Classic shelves. Beautiful black shelves for the living room to organize all these books. This shelving is sturdy and the best I've seen so far, economical and practical. Doesn't take long to put together. I really like these shelves!;Beautiful black shelves - Positive, sturdy - Positive, economical - Positive, practical - Positive, doesn't take long to put together - Positive.
KALLAX. Love this item, but definitely felt like I was paying an arm and a leg for it.;Love this item - Positive, paid an arm and a leg - Neutral.
Kallax shelves are the best. These shelves are practical not only for the bedroom, but for any room - even the closet. I use them to organize books and kitchen items and my clothes and personal items. Inexpensive, practical and easy to put together are three ways I'd use to describe these shelves.;Practical - Positive, Inexpensive - Positive, Easy to put together - Positive, versatile - Positive.
SPACE SAVING STORAGE. I LOVE THIS UNIT AND HOW EASY IT WAS TO ACCESSORIZE. WE ASSEMBLED 4 OF THEM, HUNG THEM ON THE WALL AND USED DIFFERENT STYLE CUBES TO MATCH MY DECOR;Space saving - Positive, love this unit - Positive, easy to accessorize - Positive.
Functional. Great functional and versatile set of shelves. I hung mine on the wall and couldn’t be happier.;Functional - Positive, great set of shelves - Positive, hung on the wall - Positive.
Good Quality. It is excellent for organizing and you can use it in different ways, it takes 15 to 20 min to assemble.;Good Quality - Positive, Excellent for organizing - Positive, Can be assembled in 15-20 mins - Neutral.
Great for Closet storage. I used 4 of these in my master closet to neatly store my things. Easy and quick to assemble, allowing me to set up our closet in short order.;Great for closet storage - Positive, Easy and quick assembly - Positive.
The dim. Changed compared to my old Kallax. Bought 3 new units from IKEA for my new home and just realized IKEA had changed the thickness of the frames, the older one looks more durable and solid but thicker than all the new ones, had to find a different location for the existing one and spend more dollars .. over all they are still good though;Thick frames - Neutral (previous model) Negative (current model), had to find different location - Negative, spending more dollars - Negative.
Good value. At ordered two of these for the kids playroom, to help conceal the unsightly amount of random toys! I had to pick them up from an associated delivery center (for a very reasonable fee). One of the shelves was damaged upon arrival, which I didn't notice until assembly (it was the LAST shelf). I notified customer service and they went above and beyond by delivering strsight to my door. The shelves are working great so far...time will tell on the wear and tear!;Good value - Positive, conceal toys - Positive, damaged shelf - Neutimental, above and beyond customer service - Positive.
Perfect size. Nice little unit for clothing. I bought 4. They fit in small places or hallways.;Perfect size - Positive, nice unit - Neutral, fits in small places - Positive.
Too narrow.. For a book case is to narrow. Most likely only 4 books can fit. Serves better as DVD display but you you loose half the space. Might be useful if wider and and slightly deeper.;Too narrow - Negative, most likely fits 4 books - Neutative, serves as DVD display - Positive, loses storage space - Negative, slightly deeper - Neutative.
Previous version is much better. I had a couple of these series (2X4) of shelf at home. I've been a fan of this so far, but the recent version, which is thinner and not smooth wood and easy scratching, is not a good quality.;Recent version - Negative, thinner - Neutative, not smooth wood - Negative, easy scratching - Negative.
Major problem. Received this not two hours ago. Unpacked and started assembling. There are printing marks all over the face of at least one of the drawers. I am not able to return it as I have no way to get it there, and even if I could drive 40 miles to do so, I have no time. No matter how much I like Ikea, I have to give this one the lowest rating possible. First time Ikea's let me down. The ratings below apply to this individual piece I purchased, NOT to the line, as a whole. I really do like Kallax -- just not this eyesore I'm stuck with. Yes, the product WORKS as expected. Just looks like misery. Can't believe I paid hard earned money for this. Apparently quality control was on lunch break when this went down the line.;Printing marks - Negative, Major problem - Negative, received defective - Negative, unable to return - Neutural, had high expectations - Negative, first time let down - Negative, wasted hard earned money - Negative.
Worth every penny. Sturdy, easy to assemble by myself, looks great. For reference, I bought the 2x4 size.;Worth every penny - Positive, sturdy - Positive, easy to assemble - Positive, looks great - Positive, 2x4 size - Neutral.
Easy Solution!. Needed an easy cost effective way to increase storage in my condo and this unit fit the bill. Super happy.;Easy solution - Positive, cost effective - Positive, increased storage - Positive.
Love this little shelf!. This is one of my favorite shelves. I bought one and found it very easy to put together so I went back to buy a few more.   A tip I would give is to not tighten the screws in as you go. Wait until all the screws are in place and then tighten them all up at the end. I didn’t use the little middle piece and these shelves work wonderfully and look good too, imo!;Easy to put together - Positive, bought multiple - Positive, no need to tighten screws as you go - Neutral, looked good - Positive.
Handy rolling storage. Moderately easy to put together, solid considering the materials, rolls well. I bought it to store documents and files as it was much less expensive than a filing cabinet. The top is the perfect size for my cat to stretch out and relax. My only wish is that the shelves were adjustable but that would have made it more expensive.;Rolling storage - Positive, moderately easy to put together - Neutral, solid - Positive, rolls well - Positive, documents and files storage - Positive, wish adjustable shelves - Neutral.
Great little Bookcases. I got two and considering getting another. They’re the perfect size for my space. Assembly was easy, don’t think it took me more than 30 min to build both. I love how compact they are, yet can fit many things from books to plants and such. And the price is great!;Great little bookcases - Positive, perfect size for space - Positive, easy assembly - Positive, compact - Positive, affordable - Positive.
Great Look. The shelf is exactly what I've been looking for. I purchased 2 of them and they fit perfectly in the areas I needed.;Great look - Positive, fits perfectly - Positive.
It’s great but.... I had trouble screwing in the 2 little holes for the little triangle thing u put at the back of the shelf so I left one nail out bc I could not get it through, only half way. So I just left it out seeing I got 2/3 nails in. I also noticed already a few black marks on the shelf n a little scratch on the glass. I would buy this again but just upset with everything mentioned. I do love how I set it up for my plants;Great but - Mixed, trouble screwing in holes - Negative, a few black marks - Neutral, little scratch on glass - Negative, love setup for plants - Positive.
Perfect fit !!. This shelf finished our master closet project and it fits perfectly !!;Perfect fit - Positive, finished master closet project - Neutral.
sharp shelf- looks expensive. Glad I purchased this, really added to my room.;Expensive-look - Positive, added to room - Positive.
Kallax shelving unit. Great addition to my closet!;Great addition - Positive.
So easy to put together!. So easy to put together! I bought one and went back for 4 more. Which says something since there are NO IKEAs in my state.;Easy to put together - Positive, went back to buy more - Positive.
For the price it's good.. These are really cute. They're pretty sturdy. They should be simple enough to put together but they are a pain. The position of the screws is so difficult. Definitely put strains on your hands. And it didn't even come with a screwdriver that fit so I had to find one. Also on mine I Have the warning stickers on my poles and I can't get them off. That's why I rated it three stars instead of four. I bought four of them and they all had stickers there.;Cute design - Positive, sturdy - Positive, assembly - Negative.
Good shelf - terrible assembly. It took me two hours to get this together. It is very difficult screwing the screws in - which is basically the entire assembly process. Some I couldn’t even get in all the way. My hands were all scraped up and sore post-assembly. Worth it for the price, but if you aren’t on a budget, you’ll probably want something else.;Good shelf - Positive, terrible assembly - Negative, difficult screwing in process - Negative, long assembly time - Negative, sore hands post-assembly - Negative
The product looked easy enough. The product looked easy enough to assemble. But it was very hard to put the screws in even with an automatic driver. I bought two but will be returning one. For the first time very disappointed in ikea product;Easy enough to assemble - Neutral, hard to put screws in - Negative, automatic driver - Neutral, disappointment with IKEA product - Negative.
Kallax. sturdy, easy to assemble,;Sturdy - Positive, easy to assemble -Positive.
Fits my needs.. Easy to put together and fits my needs.;Easy assembly - Positive, fits needs - Positive.
Great shelf unit. This shelf unit is perfect for my kids room. Great place to organize toys and it was easy to build.;Great shelf unit - Positive, perfect for organizing toys - Positive, easy to build - Positive.
Easy to paint. I spray painted this shelf in Gold, it looks amazing now.;Easy to paint - Positive, looks amazing - Positive.
Difficult assembly. Very difficult position for a large number of bolts.;Difficult assembly - Negative.
Great Storage. I got rid of my two smaller bookshelves and use this as a room divider as well. Assembly was easy and pretty fast compared to other large furniture pieces I've gotten here.;"Great storage - Positive, easy assembly - Positive

Or:

Storage solution - Positive, efficient assembly - Positive."
Great product. I use it. Great product. I use it in my closet for extra storage and it fits perfectly!;Great product - Positive, fits perfectly - Positive.
Kallax Shelves. The Kallax Shelves were perfect for what we wanted them for;Perfect for intended use - Positive.
Great Display Case. Used 4 Kalax single towers and 2 single Kalax boxes to create an 18 cube display case for all the family’s sports memorabilia with room for a 50” TV in the center. Great space saver!;"Great display case - Positive, 18 cube - Neutral, room for 50"" TV - Positive, space saver - Positive."
The Billy Bookcases are better. I wanted to get the Billy Bookcases. Online it said they were in stock. Even at the store it said they were in stock, but they weren't. Since I do not live close to the store, I did not want to waste my trip and so I settled for buying the Kallax bookcases instead. I bought 4 of them, all different sizes. I was very disappointed.   Regardless of size they are held together with 8 screws and wooden dowls. The wooden dowls do not fit well into the holes. Since they are a few inches long but thin, a few of them broke. Luckily I have tools and my own dowl jig so I drilled them out, widened the holes and used bigger dowls.  I also had to use a rubber mallet to tap the dowls fully into the holes. I then had to also use the mallet to tap everything together because I could not push everything together snuggly and I'm pretty big.   I eventually got everything together but it was a lot more work than it needed to be. They can either use thicker dowls and/or drill their holes ever so slightly bigger so everything will fit together easily.   I never had these problems when assembling their Billy bookcases of which I have 12 or 13 of.;Disappointed with Kallax - Negative, wooden dowels do not fit well - Negative, had to use tools to assemble - Neutral.
assembly not as before. The unit itself is fine once it's assembled. But the old design (was it Expedit?) was much easier to assemble. We had to use a hammer all the way through assembly on this one which should not be required per instructions;Fine once assembled - Positive, old design easier to assemble - Negative, required hammer during assembly - Negative.
A great piece for any room. This was easy to put together and is exactly what I needed in my living room! I added colorful Bins from Target that fit perfect.;Easy to put together - Positive, great for any room - Positive, exactly needed - Positive, colorful bins - Neutral.
Storage unit is good. My daughter's room smells like a funeral and has for many days due to the formaldehyde off-gassing. Legally it can have formaldehyde as it is not labelled as children's furniture. Also, I had this delivered and had two #2 boxes delivered instead of a #1 & #2. After approximately 5 hours waiting on the phone and being transferred around (yes, really) the girl completely messed it up again so I ended up driving to an Ikea location to fix it. So I paid $50 for delivery for nothing, wasted many hours and had no apology. I was and continue to be kind as I have worked in retail and know how it is. I would very much consider this information however if you have no vehicle and are hours from a location.;Storage unit - Neutral, formaldehyde off-gassing - Negative, Ikea delivery - Negative, long wait on phone - Neutive, wasted hours - Negative.
Solid buy. Easy to put together with substantial shelves - very serviceable though I do wish the wood was not so soft.;Easy to assemble - Positive, Substantial shelves - Positive, Solid buy - Positive, Wish wood was not soft - Neutral.
Sturdy shelf unit but many defective screws. The painted surfaces were good and all the parts and instructions were in the box but it was difficult to assemble because many of the Phillips drive slots were off center in the screw head.;Sturdy shelf unit - Positive, many defective screws - Negative, off-center screw slots - Negative.
Great multi-function shelf. I have one in my entry hall with baskets for shoes and misc. The other is in the office and is a desk with plenty of storage.;Multi-function shelf - Positive, great - Positive, entry hall - Neutral, office - Neutral, desk - Positive, storage - Positive.
Better than expected!. Easy to assemble. Looks fantastic.;Easy to assemble - Positive, looks fantastic - Positive.
the quality is good. everything as i expected;Quality is good - Positive.
NIGHTMARE to assemble, total garbage. I've been assembling Ikea furniture for over 30 years for both my home and businesses and I have never encountered such a frustrating build!! I always read Ikea assembly instructions thoroughly but no matter how carefully I followed them, it was a disaster. A total loss for me as the thing was so shreaded beyond functionality just from trying to put it together that it went into the garbage because my nearest Ikea store is over 2 hours away to return its pathetic scraps. What a disaster product assembly scheme. Just go back to using screws Ikea!;Nightmare to assemble - Negative, total garbage - Negative, frustrating build - Negative, shredded beyond functionality - Negative.
Vihals. Great product, a bit expensive;Great product - Positive, Expensive - Neutral.
Oldie but Goodie. Must have! Sleek,classic, durable and unit. Love it!;Oldie but Goodie - Positive, Sleek - Positive, classic - Positive, durable - Positive, unit - Neutral, Must have - Positive.
Does the job. easy to build and def does the trick for storage in a small space.;Easy to build - Positive, does the trick - Positive, small space storage - Neutral.
wish it came in more sizes. great for adding on pieces but wish came in more sizes;Desired larger sizes - Negative, great for adding on pieces - Positive.
These are awful. If you ever purchased an older version of this you will hate this new version. You have to screw these into the shelving structure, so once they are there, they aren't moving unless you want to see all of the holes left behind. Being able to change how you used these in the old version was a great feature (especially if you move a lot). The older version had deeper drawers and were quite substantial. I am very disappointing in this new version. Quality is very low and it is not easy to install.;Awful - Negative, new version - Negative, required screwing into structure - Negative, lack of flexibility - Negative, low quality - Negative, challenging installation - Negative.
The drawers are REALLY shallow. This looks like it contains two drawers that each take up roughly half the space in one cube of the Kallax shelf. WRONG - it has two fronts that each take up half the space. The sides of the drawers are roughly half as high as the front of the drawer. So, you can only store about 3 worth of stuff in each drawer. What's the point?;Really shallow drawers - Negative, each front takes up half the space - Neutral, drawers have low height sides - Negative
I loved it so much I bought a second one!. I purchased the 25 cube Kallax with 6 inserts about 6 months ago for my foyer. I love it and admire it every time I walk by it. It’s big, it’s organized, and it is very beautiful. The pictures don’t compare to it in person. I had been recently looking online for a piece for my bedroom. So I purchased the 25 cube Kallax with 10 inserts this time and it’s perfect for us. I am thinking about getting one for my son’s room as well. Both pieces have been worth every penny spent!;Loved it - Positive, purchased again - Positive, big - Neutral, organized - Positive, beautiful - Positive, worth every penny - Positive.
Kallax. Cute little shelf unit!;Little shelf unit - Neutral, cute - Positive.
as expected. solid product, exactly what I needed and expected it to be;Solid product - Positive, met expectations - Positive.
Magnificent organizer. This has helped me organize my life.;Magnificent organizer - Positive.
Works just ok. Works , but quality it’s not the same . The ones I got a couple years ago were sturdier;Works just ok - Neutral, not same quality - Negative.
DO NOT BUY. I'm VERY good at putting together ikea furniture. This thing was impossible to put together, I will have to throw it out. A waste of money I can't get back.;Impossible to put together - Negative.
Gives the kallax an elevated look. Assembly was straightforward and it makes the unit look a lot nicer. Would definitely recommend for the price.;Elevated look - Positive, straightforward assembly - Positive.
Great multipurpose furniture. Great multipurpose furniture, easy to assemble, style fits with already existing furniture and decor.;Multipurpose furniture - Positive, easy assembly - Positive, fits established decor - Positive.
Live it, perfect for storage I needed for toy room. Laid on its side in front of window,waiting for cushions. Great perfect for storage of toys in playroom,laid sideways by window and waiting on cushion;Perfect for storage - Positive, suitable for toy room - Positive.
Creating an art space for grandkids. Used several IKEA products to build an art and crafting area for my grandkids. Created a great space for organizing all their projects.;Art and crafting area - Positive, organizing projects - Positive.
Great Riser. It was so easy to put together and attach it to my Kallax 8 shelf/cube furniture. It looks so great.;Easy to put together - Positive, looks great - Positive.
Easily assembled. Chair went together well;Easily assembled - Positive.
Perfect. Easy to assemble and works perfectly to store my sons books and trophies;Easy assembly - Positive, works perfectly - Positive.
Extends space. I put three of these shelf units in my 3x4 kallax unit. They fit vertically but not horizontally. I was disappointed at first, but now find that the vertical shelves fit my needs.;Extends space - Positive, fits vertically - Positive, fits needs - Positive, horizontal fit disappointment - Neutral.
Space. I love this product looks nice in my living room;Looks nice - Positive, product - Neutral, living room - Neutral, space - Neutral.
poor quality. poor quality;Poor quality - Negative.
Diminished Space. The drawers are very small. They waste too much space.;Very small drawers - Negative, waste space - Negative.
